Ward,time_period,predicted_trend,predicted_value,lower_bound,upper_bound,predicted_trend_CI,ci_position,ci_gap,ci_badge,horizon,County,observed,observed_trend_2mo,alert_flag
Abakaile,2025-01-01,Stable,0.039746914,0.0311880419962108,0.0532493019476532,Stable,within,0.0,Within CI,2mo,Garissa,0.0321148711417703,Stable,False
Abakaile,2025-01-01,Stable,0.032736883,0.0230492983944714,0.0448565805330872,Stable,within,0.0,Within CI,3mo,Garissa,0.0321148711417703,Stable,False
Abakaile,2025-02-01,Stable,0.047184713,0.0418834285810589,0.0520467527210712,Stable,within,0.0,Within CI,1mo,Garissa,0.0429126214814439,Increasing,False
Abakaile,2025-02-01,Stable,0.04638232,0.0391358582302927,0.0543205369263887,Stable,within,0.0,Within CI,2mo,Garissa,0.0429126214814439,Increasing,False
Abakaile,2025-02-01,Decreasing,0.027026873,0.0257978849112987,0.0417275795713067,Stable,above_upper,-0.0011850419101371995,▼ -0.1%,3mo,Garissa,0.0429126214814439,Increasing,False
Abakaile,2025-03-01,Decreasing,0.03873347,0.0393117144703865,0.0542020283639431,Stable,within,0.0,Within CI,1mo,Garissa,0.0489565843350595,Stable,False
Abakaile,2025-03-01,Decreasing,0.03833242,0.027495792414993,0.0517983568832278,Stable,within,0.0,Within CI,2mo,Garissa,0.0489565843350595,Stable,False
Abakaile,2025-03-01,Decreasing,0.038428742,0.0258110163733363,0.0534296697005629,Stable,within,0.0,Within CI,3mo,Garissa,0.0489565843350595,Stable,False
Abakaile,2025-04-01,Increasing,0.053727124,0.032855050265789,0.0627052448689937,Stable,within,0.0,Within CI,1mo,Garissa,0.0424444642641756,Stable,False
Abakaile,2025-04-01,Decreasing,0.026887683,0.019406858459115,0.0481432361528277,Stable,within,0.0,Within CI,2mo,Garissa,0.0424444642641756,Stable,False
Abakaile,2025-04-01,Decreasing,0.0190551,-0.0111978599801659,0.0555614722892641,Stable,within,0.0,Within CI,3mo,Garissa,0.0424444642641756,Stable,False
Abakaile,2025-05-01,Stable,0.04306775,0.0344583816826343,0.0593079451471567,Stable,within,0.0,Within CI,1mo,Garissa,0.0400351896938138,Stable,False
Abakaile,2025-05-01,Stable,0.034593724,0.0185681774280965,0.0756800577044486,Stable,within,0.0,Within CI,2mo,Garissa,0.0400351896938138,Stable,False
Abakaile,2025-05-01,Increasing,0.05053591,0.0269028535112738,0.1334522143006324,Stable,within,0.0,Within CI,3mo,Garissa,0.0400351896938138,Stable,False
Abakaile,2025-06-01,Stable,0.036287576,0.0319419037550687,0.0560727370902895,Stable,within,0.0,Within CI,1mo,Garissa,0.03501448194976,Stable,False
Abakaile,2025-06-01,Increasing,0.050345372,0.0260590648278594,0.0808153845369815,Stable,within,0.0,Within CI,2mo,Garissa,0.03501448194976,Stable,False
Abakaile,2025-06-01,Increasing,0.046197034,0.0198333111591637,0.1013267718255519,Stable,within,0.0,Within CI,3mo,Garissa,0.03501448194976,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0266270638443529,0.0937734402716159,Stable,below_lower,0.0012971930140821993,▲ +0.1%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0266270638443529,0.0937734402716159,Stable,below_lower,0.0012971930140821993,▲ +0.1%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0266270638443529,0.0937734402716159,Stable,below_lower,0.0012971930140821993,▲ +0.1%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0266270638443529,0.0937734402716159,Stable,below_lower,0.0012971930140821993,▲ +0.1%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0266270638443529,0.0937734402716159,Stable,below_lower,0.0012971930140821993,▲ +0.1%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0266270638443529,0.0937734402716159,Stable,below_lower,0.0012971930140821993,▲ +0.1%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0266270638443529,0.0937734402716159,Stable,below_lower,0.0012971930140821993,▲ +0.1%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0266270638443529,0.0937734402716159,Stable,below_lower,0.0012971930140821993,▲ +0.1%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0266270638443529,0.0937734402716159,Stable,below_lower,0.0012971930140821993,▲ +0.1%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0266270638443529,0.0937734402716159,Stable,below_lower,0.0012971930140821993,▲ +0.1%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0266270638443529,0.0937734402716159,Stable,below_lower,0.0012971930140821993,▲ +0.1%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0266270638443529,0.0937734402716159,Stable,below_lower,0.0012971930140821993,▲ +0.1%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0266270638443529,0.0937734402716159,Stable,below_lower,0.0012971930140821993,▲ +0.1%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0266270638443529,0.0937734402716159,Stable,below_lower,0.0012971930140821993,▲ +0.1%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0266270638443529,0.0937734402716159,Stable,below_lower,0.0012971930140821993,▲ +0.1%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0266270638443529,0.0937734402716159,Stable,below_lower,0.0012971930140821993,▲ +0.1%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0266270638443529,0.0937734402716159,Stable,below_lower,0.0012971930140821993,▲ +0.1%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0266270638443529,0.0937734402716159,Stable,below_lower,0.0012971930140821993,▲ +0.1%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0266270638443529,0.0937734402716159,Stable,below_lower,0.0012971930140821993,▲ +0.1%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0266270638443529,0.0937734402716159,Stable,below_lower,0.0012971930140821993,▲ +0.1%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0266270638443529,0.0937734402716159,Stable,below_lower,0.0012971930140821993,▲ +0.1%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0266270638443529,0.0937734402716159,Stable,below_lower,0.0012971930140821993,▲ +0.1%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0266270638443529,0.0937734402716159,Stable,below_lower,0.0012971930140821993,▲ +0.1%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0266270638443529,0.0937734402716159,Stable,below_lower,0.0012971930140821993,▲ +0.1%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0266270638443529,0.0937734402716159,Stable,below_lower,0.0012971930140821993,▲ +0.1%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0266270638443529,0.0937734402716159,Stable,below_lower,0.0012971930140821993,▲ +0.1%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0266270638443529,0.0937734402716159,Stable,below_lower,0.0012971930140821993,▲ +0.1%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0266270638443529,0.0937734402716159,Stable,below_lower,0.0012971930140821993,▲ +0.1%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0266270638443529,0.0937734402716159,Stable,below_lower,0.0012971930140821993,▲ +0.1%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0266270638443529,0.0937734402716159,Stable,below_lower,0.0012971930140821993,▲ +0.1%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0266270638443529,0.0937734402716159,Stable,below_lower,0.0012971930140821993,▲ +0.1%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0266270638443529,0.0937734402716159,Stable,below_lower,0.0012971930140821993,▲ +0.1%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0280509117990732,0.0916884023696184,Stable,below_lower,0.002721040968802501,▲ +0.3%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0280509117990732,0.0916884023696184,Stable,below_lower,0.002721040968802501,▲ +0.3%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0280509117990732,0.0916884023696184,Stable,below_lower,0.002721040968802501,▲ +0.3%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0280509117990732,0.0916884023696184,Stable,below_lower,0.002721040968802501,▲ +0.3%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0280509117990732,0.0916884023696184,Stable,below_lower,0.002721040968802501,▲ +0.3%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0280509117990732,0.0916884023696184,Stable,below_lower,0.002721040968802501,▲ +0.3%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0280509117990732,0.0916884023696184,Stable,below_lower,0.002721040968802501,▲ +0.3%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0280509117990732,0.0916884023696184,Stable,below_lower,0.002721040968802501,▲ +0.3%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0280509117990732,0.0916884023696184,Stable,below_lower,0.002721040968802501,▲ +0.3%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0280509117990732,0.0916884023696184,Stable,below_lower,0.002721040968802501,▲ +0.3%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0280509117990732,0.0916884023696184,Stable,below_lower,0.002721040968802501,▲ +0.3%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0280509117990732,0.0916884023696184,Stable,below_lower,0.002721040968802501,▲ +0.3%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0280509117990732,0.0916884023696184,Stable,below_lower,0.002721040968802501,▲ +0.3%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0280509117990732,0.0916884023696184,Stable,below_lower,0.002721040968802501,▲ +0.3%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0280509117990732,0.0916884023696184,Stable,below_lower,0.002721040968802501,▲ +0.3%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0280509117990732,0.0916884023696184,Stable,below_lower,0.002721040968802501,▲ +0.3%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0280509117990732,0.0916884023696184,Stable,below_lower,0.002721040968802501,▲ +0.3%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0280509117990732,0.0916884023696184,Stable,below_lower,0.002721040968802501,▲ +0.3%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0280509117990732,0.0916884023696184,Stable,below_lower,0.002721040968802501,▲ +0.3%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0280509117990732,0.0916884023696184,Stable,below_lower,0.002721040968802501,▲ +0.3%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0280509117990732,0.0916884023696184,Stable,below_lower,0.002721040968802501,▲ +0.3%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0280509117990732,0.0916884023696184,Stable,below_lower,0.002721040968802501,▲ +0.3%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0280509117990732,0.0916884023696184,Stable,below_lower,0.002721040968802501,▲ +0.3%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0280509117990732,0.0916884023696184,Stable,below_lower,0.002721040968802501,▲ +0.3%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0280509117990732,0.0916884023696184,Stable,below_lower,0.002721040968802501,▲ +0.3%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0280509117990732,0.0916884023696184,Stable,below_lower,0.002721040968802501,▲ +0.3%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0280509117990732,0.0916884023696184,Stable,below_lower,0.002721040968802501,▲ +0.3%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0280509117990732,0.0916884023696184,Stable,below_lower,0.002721040968802501,▲ +0.3%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0280509117990732,0.0916884023696184,Stable,below_lower,0.002721040968802501,▲ +0.3%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0280509117990732,0.0916884023696184,Stable,below_lower,0.002721040968802501,▲ +0.3%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0280509117990732,0.0916884023696184,Stable,below_lower,0.002721040968802501,▲ +0.3%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.06949646,0.0280509117990732,0.0916884023696184,Stable,below_lower,0.002721040968802501,▲ +0.3%,1mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.0866592,0.023718699067831,0.1310822136700153,Stable,within,0.0,Within CI,2mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.0866592,0.023718699067831,0.1310822136700153,Stable,within,0.0,Within CI,2mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.0866592,0.023718699067831,0.1310822136700153,Stable,within,0.0,Within CI,2mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.0866592,0.023718699067831,0.1310822136700153,Stable,within,0.0,Within CI,2mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.0866592,0.023718699067831,0.1310822136700153,Stable,within,0.0,Within CI,2mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.0866592,0.023718699067831,0.1310822136700153,Stable,within,0.0,Within CI,2mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.0866592,0.023718699067831,0.1310822136700153,Stable,within,0.0,Within CI,2mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.0866592,0.023718699067831,0.1310822136700153,Stable,within,0.0,Within CI,2mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.0866592,0.023718699067831,0.1310822136700153,Stable,within,0.0,Within CI,2mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.0866592,0.023718699067831,0.1310822136700153,Stable,within,0.0,Within CI,2mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.0866592,0.023718699067831,0.1310822136700153,Stable,within,0.0,Within CI,2mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.0866592,0.023718699067831,0.1310822136700153,Stable,within,0.0,Within CI,2mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.0866592,0.023718699067831,0.1310822136700153,Stable,within,0.0,Within CI,2mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.0866592,0.023718699067831,0.1310822136700153,Stable,within,0.0,Within CI,2mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.0866592,0.023718699067831,0.1310822136700153,Stable,within,0.0,Within CI,2mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.0866592,0.023718699067831,0.1310822136700153,Stable,within,0.0,Within CI,2mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.0866592,0.0235395935364067,0.1335604399442672,Stable,within,0.0,Within CI,2mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.0866592,0.0235395935364067,0.1335604399442672,Stable,within,0.0,Within CI,2mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.0866592,0.0235395935364067,0.1335604399442672,Stable,within,0.0,Within CI,2mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.0866592,0.0235395935364067,0.1335604399442672,Stable,within,0.0,Within CI,2mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.0866592,0.0235395935364067,0.1335604399442672,Stable,within,0.0,Within CI,2mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.0866592,0.0235395935364067,0.1335604399442672,Stable,within,0.0,Within CI,2mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.0866592,0.0235395935364067,0.1335604399442672,Stable,within,0.0,Within CI,2mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.0866592,0.0235395935364067,0.1335604399442672,Stable,within,0.0,Within CI,2mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.0866592,0.0235395935364067,0.1335604399442672,Stable,within,0.0,Within CI,2mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.0866592,0.0235395935364067,0.1335604399442672,Stable,within,0.0,Within CI,2mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.0866592,0.0235395935364067,0.1335604399442672,Stable,within,0.0,Within CI,2mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.0866592,0.0235395935364067,0.1335604399442672,Stable,within,0.0,Within CI,2mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.0866592,0.0235395935364067,0.1335604399442672,Stable,within,0.0,Within CI,2mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.0866592,0.0235395935364067,0.1335604399442672,Stable,within,0.0,Within CI,2mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.0866592,0.0235395935364067,0.1335604399442672,Stable,within,0.0,Within CI,2mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.0866592,0.0235395935364067,0.1335604399442672,Stable,within,0.0,Within CI,2mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.0866592,0.023718699067831,0.1310822136700153,Stable,within,0.0,Within CI,2mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.0866592,0.023718699067831,0.1310822136700153,Stable,within,0.0,Within CI,2mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.0866592,0.023718699067831,0.1310822136700153,Stable,within,0.0,Within CI,2mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.0866592,0.023718699067831,0.1310822136700153,Stable,within,0.0,Within CI,2mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.0866592,0.023718699067831,0.1310822136700153,Stable,within,0.0,Within CI,2mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.0866592,0.023718699067831,0.1310822136700153,Stable,within,0.0,Within CI,2mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.0866592,0.023718699067831,0.1310822136700153,Stable,within,0.0,Within CI,2mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.0866592,0.023718699067831,0.1310822136700153,Stable,within,0.0,Within CI,2mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.0866592,0.023718699067831,0.1310822136700153,Stable,within,0.0,Within CI,2mo,Garissa,0.0253298708302707,Stable,False
Abakaile,2025-07-01,Increasing,0.0866592,0.023718699067831,0.1310822136700153,Stable,within,0.0,Within CI,2mo,Garissa,0.0253298708302707,Stable,False
